"cell.id";"longitude_cell";"latitude_cell";"-P50";"Slope";"-TLP";"LS";"Ks";"WD";"LMA";"N";"group";"per";"MAT";"MAP";"meanT_Q";"pre_dryQ";"AI"
1;-90.125;38.125;0.864580707200949;3.60128653620181;0.862835201533436;-0.640109391877807;0.295888007247494;0.565466553023792;4.83567727788749;2.91458133965544;"BD";0.722148488236722;13.0278889338175;1040.33333333333;24.2424443562826;200.333333333333;0.768538666666667
2;-89.375;37.125;0.692566819492534;3.59594557726184;0.827653443848847;-0.48324787189839;0.645123815010463;0.58619424443789;3.99343444674682;2.99335414700577;"BD";1;13.677944501241;1203.33333333333;24.6606667836507;264.666666666667;0.892118666666667
3;-89.625;37.875;0.536132648971781;3.74447699895379;0.817309933988416;-0.402280968083298;0.86960923749053;0.570156538751356;4.07675044580818;3.01205817875933;"BD";0.981905544617289;13.1714998881022;1116.5;24.3542222976685;227.166666666667;0.836210666666667
4;-90.125;38.875;0.404710355581264;3.64915637145375;0.673666057290881;-0.380774544119319;0.808696795262615;0.543017287347496;3.96806285961261;3.0047241041485;"BD";0.9936826674733;12.4119335174561;972.4;24.1665332794189;175.8;0.7361024
5;-89.125;38.125;1.06841107977549;3.78783398354324;0.733373403337272;-0.567319930844019;0.460981408894258;0.608111926499896;4.35275592723719;2.76849066607705;"BD";1;12.9972496032715;1073;24.404333114624;216.5;0.821426
6;-90.625;38.875;0.616941346102903;3.73775258306625;0.93096273922049;-0.308498980123249;0.80400556476517;0.598597727573357;3.9633756717328;3.0781001645763;"BD";0.97434283446681;12.1510000228882;965;23.7320003509521;165;0.729076
7;-88.625;42.375;0.412344018645937;4.31411559936199;0.845369013164389;-0.79353549600644;0.603398854586282;0.553965639551546;3.65712809237302;3.07576451265026;"BD";1;8.53691673278809;914.5;21.2023334503174;119;0.816624
8;-89.125;42.125;0.825531252021747;3.91748246873019;0.647502118350836;-0.670396740590197;0.476720523194735;0.544053020271056;3.97038429648807;3.12064969320986;"BD";1;8.62544473012288;909;21.3502216339111;114;0.808341333333333
9;-90.125;42.125;0.521592884783674;4.22228467655278;0.578522975075518;-0.497982665361195;0.648168250925831;0.491674883373117;3.61132259217002;3.14294334108379;"BD";1;8.75544452667236;908.333333333333;21.5262228647868;112.333333333333;0.798242666666667
10;-87.625;39.375;0.705463089559914;3.31512857783816;0.830319354645249;-0.22029619482497;0.834510883242042;0.642749153557619;3.95554931135701;3.05909235865914;"BD";0.965782685034364;11.4932222366333;1048.33333333333;23.1775550842285;191.333333333333;0.879264
11;-86.625;38.625;0.940463347297458;3.24864435395633;0.832230940442272;-0.350034172036662;0.737661472598136;0.546600130605466;4.20665560380983;3.03561982216012;"BD";0.923072689969772;12.069910122798;1187.07692307692;23.0462047870343;238;0.945355384615385
12;-86.625;37.875;0.74390476870145;3.6264905154293;0.804036332388186;-0.390052761571778;0.746411068709786;0.607005915147276;4.11926137431989;3.01321410460693;"BD";0.940282387510382;13.0497221416897;1203.88888888889;23.6934816572401;258.888888888889;0.910732888888889
13;-86.625;38.125;0.881831755490506;3.43247550110461;0.836820359011283;-0.401016274017546;0.734618968751696;0.604390970565263;4.03159498038796;3.01755459117829;"BD";0.996093022758156;12.7318555196126;1185.93333333333;23.4495110829671;255.933333333333;0.910166133333333
14;-86.625;38.375;0.815295231027893;3.28010191253812;0.84072257929021;-0.31078068668157;0.716131248844444;0.564423580925508;4.10890642945971;3.02425036318481;"BD";0.970847316685227;12.4006538391113;1180.84615384615;23.2391791710487;247.846153846154;0.922656923076923
15;-86.375;38.375;0.846394642637261;3.36438542094205;0.8210511452987;-0.336591794829126;0.735823816763149;0.579466341624845;4.11501362264548;3.0128220463993;"BD";0.887499240043949;12.3033588849581;1175.84615384615;23.0913329491249;252.230769230769;0.921359076923077
16;-86.375;38.125;0.867316382385519;3.45622262078994;0.8327481130769;-0.574116629590441;0.573042049898679;0.595282235161317;4.57522079625715;2.92971147647154;"BD";0.712337988371591;12.819987150339;1173.30769230769;23.5011279766376;251.923076923077;0.893481230769231
17;-86.125;38.875;0.77279484750522;3.46772750668578;0.927077311473855;-0.422327227951522;0.747180896517831;0.654683080756919;4.14125441602949;2.98218894554828;"BD";0.997287478921662;11.680166721344;1149.75;22.6953339576721;233;0.938729
18;-85.875;38.875;1.22831477840583;3.85912990573499;0.661625477912467;-0.580189894734864;0.690033301378095;0.50345610572947;4.39985294034954;2.84285810827463;"BD";1;12.0801668167114;1125;23.1539993286133;228;0.893472
19;-86.375;38.875;0.79820038127951;3.26649825369628;0.875159201561509;-0.234700850081193;0.827805479101806;0.609477546954304;4.02087685695457;3.05186042304739;"BD";0.997654932742486;11.7568887074788;1147;22.8095560073853;230;0.935169333333333
20;-86.625;38.875;1.01138807843782;2.97436424980079;0.798804528890842;-0.330930164726197;0.834612265049545;0.568724872447191;3.98081306220572;3.07156714834951;"BD";0.953481525787263;11.870722134908;1162.66666666667;22.9967775344849;228.5;0.941240666666667
21;-84.875;39.375;0.659135316244251;3.66518451023895;0.787918227257603;-0.55802377658091;0.745741168852009;0.626567998006087;4.33774365181073;3.04941461887807;"BD";0.897350337547538;11.293208360672;1078.375;22.4358334541321;220;0.887841
22;-85.375;38.875;0.76949268168663;3.69349258145133;0.788208547972437;-0.682417111094389;0.678076590332698;0.57071781181472;4.37994346239837;2.9958607849759;"BD";0.859900282104058;11.827595438276;1150;22.7011427198138;238.285714285714;0.927883428571429
23;-85.125;40.375;0.450155335704227;3.84584812660155;0.69322282741994;-0.454330437589897;1.01203704083252;0.638228597897218;3.63214637404528;3.09092268529785;"BD";1;10.0207915306091;945.75;21.7328329086304;170;0.840362
