"species"	"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"Ks"	"LS"	"WD"	"LMA"	"leafN"	"group"
"33"	"Acer_spicatum"	"Acer spicatum"	"Acer"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.15082289	-0.530620251	0.5325	3.210843653	3.111290614	"BT"
"34"	"Adelia_ricinella"	"Adelia ricinella"	"Adelia"	"Euphorbiaceae"	-0.523484528	3.698985926225	0.2390169	1.2515615265	-0.162518929	0.51	3.8531290975	3.027715319	"BE"
"35"	"Adenanthera_pavonina"	"Adenanthera pavonina"	"Adenanthera"	"Fabaceae"	-0.105360516	3.838069294	0.631271777	0.991398204	-0.2598138955	0.68	3.997099178	3.38269391	"BE"
"36"	"Aesculus_californica"	"Aesculus californica"	"Aesculus"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.15082289	-0.530620251	0.48	3.91621421	3.091042453	"BT"
"37"	"Aesculus_flava"	"Aesculus flava"	"Aesculus"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.15082289	-0.530620251	0.34	3.91621421	3.091042453	"BT"
"38"	"Aesculus_glabra"	"Aesculus glabra"	"Aesculus"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.15082289	-0.530620251	0.475	3.91621421	3.034952987	"BT"
"39"	"Aesculus_hippocastanum"	"Aesculus hippocastanum"	"Aesculus"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.15082289	-0.530620251	0.475	3.91621421	3.160398895	"BT"
"40"	"Ailanthus_altissima"	"Ailanthus altissima"	"Ailanthus"	"Simaroubaceae"	0.887891257	3.89127707487	0.262364264	-0.510825624	-0.51841971722	0.515	3.566005356	3.270898853	"BT"
"41"	"Albizia_julibrissin"	"Albizia julibrissin"	"Albizia"	"Fabaceae"	-0.105360516	3.838069294	0.631271777	0.717839793	-0.2598138955	0.5875	3.716251401	3.491342732	"BT"
"42"	"Albizia_lebbeck"	"Albizia lebbeck"	"Albizia"	"Fabaceae"	-0.105360516	3.838069294	0.631271777	0.717839793	-0.2598138955	0.57	3.716251401	3.422374725	"BD"
"43"	"Albizia_procera"	"Albizia procera"	"Albizia"	"Fabaceae"	-0.105360516	3.838069294	0.631271777	0.717839793	-0.2598138955	0.605	3.716251401	3.353406718	"BD"
"44"	"Alchornea_latifolia"	"Alchornea latifolia"	"Alchornea"	"Euphorbiaceae"	-0.523484528	3.851744375835	0.2390169	1.2515615265	-0.162518929	0.43	3.88547367	2.806386102	"BE"
"45"	"Alnus_alnobetula"	"Alnus alnobetula"	"Alnus"	"Betulaceae"	0.277631737	4.423948025	0.2463715585	0.277631737	-1.262131718	0.44	3.774827766	3.180134997	"BT"
"46"	"Alnus_cordata"	"Alnus cordata"	"Alnus"	"Betulaceae"	0.336472237	4.914711593	0.2463715585	0.693147181	-1.262131718	0.39	3.774139298	3.309082093	"BT"
"47"	"Alnus_glutinosa"	"Alnus glutinosa"	"Alnus"	"Betulaceae"	0.615185639	3.793689818	0.2463715585	0.693147181	-1.262131718	0.465	4.286410158	3.453157121	"BT"
"48"	"Alnus_incana"	"Alnus incana"	"Alnus"	"Betulaceae"	0.418710335	4.950035672	0.277631737	0.693147181	-1.262131718	0.44	3.987872318	3.432372999	"BT"
"49"	"Alnus_indet"	"Alnus indet"	"Alnus"	"Betulaceae"	0.377591286	4.1088189215	0.2463715585	0.693147181	-1.262131718	0.44	3.987872318	3.244608545	"BT"
"50"	"Alnus_oblongifolia"	"Alnus oblongifolia"	"Alnus"	"Betulaceae"	0.377591286	4.1088189215	0.2463715585	0.693147181	-1.262131718	0.44	3.987872318	3.244608545	"BT"
"51"	"Alnus_rhombifolia"	"Alnus rhombifolia"	"Alnus"	"Betulaceae"	0.273836666	3.426540189	0.21511138	2.012232792	-1.262131718	0.47	4.297829476	3.058707073	"BT"
"52"	"Alnus_rubra"	"Alnus rubra"	"Alnus"	"Betulaceae"	0.916290732	3.406516543	0.2463715585	0.693147181	-1.262131718	0.4	3.987872318	3.154230631	"BT"
"53"	"Alsophila_portoricensis"	"Alsophila portoricensis"	"Alsophila"	"Cyatheaceae"	0.667735245235	3.74733985729	0.66436639741	0.72230557114	-0.623158503105	0.548825	4.106741856365	3.02616976262	"BE"
"54"	"Amelanchier_arborea"	"Amelanchier arborea"	"Amelanchier"	"Rosaceae"	1.921324674	3.498324092	0.955511445	-0.139262067	-0.635590777	0.615	3.790758918	2.98517676	"BT"
