"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"38"	"Aesculus glabra"	"Aesculus"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.530620251	-0.15082289	0.475	3.91621421	3.034952987	"BD"
"39"	"Aesculus hippocastanum"	"Aesculus"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.530620251	-0.15082289	0.475	3.91621421	3.160398895	"BD"
"40"	"Ailanthus altissima"	"Ailanthus"	"Simaroubaceae"	0.887891257	3.934721663265	0.262364264	-0.44940947775	-0.510825624	0.515	3.566005356	3.270898853	"BD"
"41"	"Albizia julibrissin"	"Albizia"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.717839793	0.5875	3.716251401	3.491342732	"BD"
"42"	"Albizia lebbeck"	"Albizia"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.717839793	0.57	3.716251401	3.422374725	"BD"
"43"	"Albizia procera"	"Albizia"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.717839793	0.605	3.716251401	3.353406718	"BD"
"44"	"Alchornea latifolia"	"Alchornea"	"Euphorbiaceae"	-0.523484528	3.719176054245	0.2390169	-0.162518929	1.2515615265	0.43	3.88547367	2.806386102	"BE"
"45"	"Alnus alnobetula"	"Alnus"	"Betulaceae"	0.277631737	4.423948025	0.2463715585	-1.262131718	0.277631737	0.44	3.774827766	3.180134997	"BD"
"46"	"Alnus cordata"	"Alnus"	"Betulaceae"	0.336472237	4.914711593	0.2463715585	-1.262131718	0.693147181	0.39	3.774139298	3.309082093	"BD"
"47"	"Alnus glutinosa"	"Alnus"	"Betulaceae"	0.615185639	3.793689818	0.2463715585	-1.262131718	0.693147181	0.465	4.286410158	3.453157121	"BD"
"48"	"Alnus incana"	"Alnus"	"Betulaceae"	0.418710335	4.950035672	0.277631737	-1.262131718	0.693147181	0.44	3.987872318	3.432372999	"BD"
"49"	"Alnus indet"	"Alnus"	"Betulaceae"	0.377591286	4.1088189215	0.2463715585	-1.262131718	0.693147181	0.44	3.987872318	3.244608545	"BD"
"50"	"Alnus oblongifolia"	"Alnus"	"Betulaceae"	0.377591286	4.1088189215	0.2463715585	-1.262131718	0.693147181	0.44	3.987872318	3.244608545	"BD"
"51"	"Alnus rhombifolia"	"Alnus"	"Betulaceae"	0.273836666	3.426540189	0.21511138	-1.262131718	2.012232792	0.47	4.297829476	3.058707073	"BD"
"52"	"Alnus rubra"	"Alnus"	"Betulaceae"	0.916290732	3.406516543	0.2463715585	-1.262131718	0.693147181	0.4	3.987872318	3.154230631	"BD"
"53"	"Alsophila portoricensis"	"Alsophila"	"Cyatheaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
