"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"158"	"Chrysophyllum pauciflorum"	"Chrysophyllum"	"Sapotaceae"	0.739553553	3.025291076	1.064710737	-0.34896416382	2.251291799	0.7325	4.422116163	3.0340368375	"BE"
"159"	"Cinnamomum camphora"	"Cinnamomum"	"Lauraceae"	0.161268148	4.414130739	0.993251773	-0.186329578	0.466873736	0.495	4.441238494	2.747270914	"BE"
"160"	"Cinnamomum elongatum"	"Cinnamomum"	"Lauraceae"	0.161268148	4.414130739	0.993251773	-0.186329578	0.466873736	0.495	4.441238494	2.747270914	"BE"
"161"	"Citharexylum fruticosum"	"Citharexylum"	"Verbenaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"162"	"Citrus aurantiifolia"	"Citrus"	"Rutaceae"	-1.1268974645	3.98500028683	0.51613696915	-0.332984288085	0.97172383269	0.43	3.886516349035	3.532225644	"BE"
"163"	"Citrus indet"	"Citrus"	"Rutaceae"	-1.1268974645	3.98500028683	0.51613696915	-0.332984288085	0.97172383269	0.43	3.886516349035	3.532225644	"BE"
"164"	"Citrus limon"	"Citrus"	"Rutaceae"	-0.867500568	3.86934532814	0.512562406635	-0.390844769355	0.93811211836	0.43	3.9087954811675	3.532225644	"BE"
"165"	"Citrus paradisi"	"Citrus"	"Rutaceae"	-1.1268974645	3.963648791155	0.493813016215	-0.068939534905	1.42804171483	0.43	4.1061593288475	3.671987586	"BE"
"166"	"Citrus sinensis"	"Citrus"	"Rutaceae"	-1.386294361	4.01741762857	0.571162749325	-0.32455328538	0.871094011605	0.43	3.9077729485325	3.225056684	"BE"
"167"	"Cladrastis kentukea"	"Cladrastis"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.6075	4.038630117	3.109060959	"BD"
"168"	"Clusia clusioides"	"Clusia"	"Clusiaceae"	0.62621358666	3.49140810824	0.84960321005	-0.742594166635	0.39605602767	0.9	4.180418880225	2.330686523	"BE"
"169"	"Clusia rosea"	"Clusia"	"Clusiaceae"	0.769462530085	3.38043915918	0.876232262325	-0.73795443366	0.38685413055	0.665	4.313044172365	2.330686523	"BE"
"170"	"Coccoloba diversifolia"	"Coccoloba"	"Polygonaceae"	0.25612146152	3.52139172319	0.811958847295	-0.615408821535	0.75619884177	0.745	4.154922540545	2.774461967	"BE"
"171"	"Coccoloba krugii"	"Coccoloba"	"Polygonaceae"	0.58974422727	3.501437107385	0.819708165885	-0.78596364605	0.618614332475	0.8725	4.17681351987	2.3672783755	"BE"
"172"	"Coccoloba microstachya"	"Coccoloba"	"Polygonaceae"	0.847231737925	3.122215656005	0.855860954575	-0.801047664975	0.34295791882	0.8725	4.259790726835	1.960094784	"BE"
"173"	"Coccoloba pubescens"	"Coccoloba"	"Polygonaceae"	0.818524570089999	3.212062012205	0.852252989535	-0.68207856675	0.33120354677	1	4.23449849075	2.3672783755	"BE"
"174"	"Coccoloba pyrifolia"	"Coccoloba"	"Polygonaceae"	0.58974422727	3.501437107385	0.819708165885	-0.78596364605	0.618614332475	0.8725	4.17681351987	2.3672783755	"BE"
"175"	"Coccoloba rugosa"	"Coccoloba"	"Polygonaceae"	0.58974422727	3.501437107385	0.819708165885	-0.78596364605	0.618614332475	0.8725	4.17681351987	2.3672783755	"BE"
"176"	"Coccoloba venosa"	"Coccoloba"	"Polygonaceae"	0.58974422727	3.501437107385	0.819708165885	-0.78596364605	0.618614332475	0.8725	4.17681351987	2.3672783755	"BE"
"177"	"Coccothrinax barbadensis"	"Coccothrinax"	"Arecaceae"	0.620938268875	3.636148952765	0.769026041815	-0.70305885901	0.573115713545	0.565	4.05064239567	2.952135668	"BE"
"178"	"Cochlospermum vitifolium"	"Cochlospermum"	"Bixaceae"	0.53508215268	3.89956344621	0.371563556	-0.255410472965	1.06093670889	0.22	4.487512143	3.075928816	"BE"
"179"	"Cocos nucifera"	"Cocos"	"Arecaceae"	0.620938268875	3.636148952765	0.769026041815	-0.70305885901	0.573115713545	0.565	4.05064239567	2.952135668	"NC"
"180"	"Coffea arabica"	"Coffea"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.62	4.026779243	3.5094537	"BE"
"181"	"Coffea liberica"	"Coffea"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.62	4.026779243	3.5094537	"BE"
"182"	"Cojoba arborea"	"Cojoba"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.655	4.038630117	3.27978276	"BE"
"183"	"Colubrina arborescens"	"Colubrina"	"Rhamnaceae"	2.091246587	4.016022595	0.808705521	-0.450378951895	0.18384008763	0.7	4.050309381	2.63188884	"BD"
"184"	"Comocladia dodonaea"	"Comocladia"	"Anacardiaceae"	1.235471471	2.7892329095	1.1269599605	0.4950811325	0.346823528	0.51	4.455625549	3.0473139505	"BE"
"185"	"Conocarpus erectus"	"Conocarpus"	"Combretaceae"	1.223775432	2.995732274	0.662687973	-0.484824240785001	0.867100488	0.85	4.49880806422	2.5112819325	"BE"
"186"	"Cordia alliodora"	"Cordia"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.465	4.347241072	3.43929567	"BD"
"187"	"Cordia borinquensis"	"Cordia"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.705	4.347241072	2.965273066	"BE"
"188"	"Cordia laevigata"	"Cordia"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.6525	4.347241072	3.311090309	"BE"
"189"	"Cordia obliqua"	"Cordia"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.6525	4.347241072	3.311090309	"BE"
"190"	"Cordia sebestena"	"Cordia"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.7	4.347241072	3.311090309	"BE"
"191"	"Cordia sulcata"	"Cordia"	"Boraginaceae"	1.075002423	3.011605623	0.54522705	-0.1158655	2.248656751	0.605	4.347241072	3.311090309	"BD"
"192"	"Cornus alba"	"Cornus"	"Cornaceae"	1.7173467035	3.0834940245	1.0156571415	-0.465533635	-0.105360516	0.57	3.907211448	2.741807298	"BD"
"193"	"Cornus florida"	"Cornus"	"Cornaceae"	1.583093937	2.91506437	0.871293366	-0.465533635	-0.105360516	0.57	3.68210657	2.741807298	"BD"
"194"	"Cornus mas"	"Cornus"	"Cornaceae"	1.7173467035	3.0834940245	1.0156571415	-0.465533635	-0.105360516	0.57	3.907211448	2.467675713	"BD"
"195"	"Cornus nuttallii"	"Cornus"	"Cornaceae"	1.7173467035	3.0834940245	1.0156571415	-0.465533635	-0.105360516	0.58	3.907211448	2.741807298	"BD"
"196"	"Cornus sanguinea"	"Cornus"	"Cornaceae"	1.85159947	3.251923679	1.160020917	-0.465533635	-0.105360516	0.565	4.100989105	3.074312374	"BD"
"197"	"Corylus avellana"	"Corylus"	"Betulaceae"	0.914288729	3.63758616	0.615185639	-0.73994533	0.5713066125	0.585	3.969064746	3.16758253	"BD"
"198"	"Cotinus obovatus"	"Cotinus"	"Anacardiaceae"	1.235471471	2.7892329095	1.1269599605	0.4950811325	0.346823528	0.51	4.455625549	3.0473139505	"BD"
"199"	"Crataegus azarolus"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BD"
"200"	"Crataegus crus-galli"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BD"
"201"	"Crataegus indet"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BD"
"202"	"Crataegus lacinata"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BD"
"203"	"Crataegus laevigata"	"Crataegus"	"Rosaceae"	2.129421474	3.463232773	1.371180723	-0.635590777	-0.139262067	0.575	3.916711995	3.230804396	"BD"
"204"	"Crataegus mollis"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BD"
"205"	"Crataegus monogyna"	"Crataegus"	"Rosaceae"	1.761300262	2.948378577	1.371180723	-0.635590777	-0.139262067	0.575	4.537426534	2.907993359	"BD"
"206"	"Crataegus monogyna Bicolor"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BE"
"207"	"Crataegus oxyacantha"	"Crataegus"	"Rosaceae"	1.945360868	3.205805675	1.371180723	-0.635590777	-0.139262067	0.575	4.2270692645	3.0693988775	"BE"
"208"	"Crescentia cujete"	"Crescentia"	"Bignoniaceae"	0.5947749329	3.34590921764	0.90347419847	-1.084052992405	0.542800988785	0.57	4.025351691	2.724579503	"BE"
"209"	"Crossopetalum rhacoma"	"Crossopetalum"	"Celastraceae"	1.637053079	3.414442608	0.811874023409999	-0.833223299465	0.011590178805	0.48	4.105119635	3.163363115	"BD"
"210"	"Croton astroites"	"Croton"	"Euphorbiaceae"	-0.523484528	3.40681903672	0.2390169	-0.162518929	1.2515615265	0.59	3.8531290975	3.186352633	"BD"
"211"	"Croton flavens"	"Croton"	"Euphorbiaceae"	-0.523484528	3.40681903672	0.2390169	-0.162518929	1.2515615265	0.59	3.8531290975	3.186352633	"BE"
"212"	"Croton poecilanthus"	"Croton"	"Euphorbiaceae"	-0.523484528	3.40681903672	0.2390169	-0.162518929	1.2515615265	0.59	3.8531290975	3.186352633	"BE"
"213"	"Cryptomeria japonica"	"Cryptomeria"	"Cupressaceae"	1.515127233	2.670002133	0.693147181	-1.5682425535	0.364643114	0.325	5.090216357	2.43798973	"NC"
"214"	"Cupania americana"	"Cupania"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.530620251	-0.15082289	0.5	3.72025798025	2.94811642	"BE"
"215"	"Cupania triquetra"	"Cupania"	"Sapindaceae"	1.123304901	3.7864455135	0.470003629	-0.530620251	-0.15082289	0.5	3.72025798025	2.94811642	"BE"
"216"	"Cupressus arizonica"	"Cupressus"	"Cupressaceae"	2.392425797	2.433613355	1.123304901	-1.5682425535	-1.021651248	0.54	5.070381098	2.087533712	"NC"
"217"	"Cupressus bakeri"	"Cupressus"	"Cupressaceae"	2.091246587	2.3991169195	1.123304901	-1.5682425535	-1.021651248	0.445	5.070381098	2.087533712	"NC"
"218"	"Cupressus lusitanica"	"Cupressus"	"Cupressaceae"	2.091246587	2.3991169195	1.123304901	-1.5682425535	-1.021651248	0.395	5.070381098	2.087533712	"NC"
"219"	"Cupressus macrocarpa"	"Cupressus"	"Cupressaceae"	1.906575144	2.3991169195	1.123304901	-1.5682425535	-1.021651248	0.4	5.070381098	2.087533712	"NC"
"220"	"Cupressus sargentii"	"Cupressus"	"Cupressaceae"	2.091246587	2.3991169195	1.123304901	-1.5682425535	-1.021651248	0.445	5.070381098	2.087533712	"NC"
"221"	"Cupressus sempervirens"	"Cupressus"	"Cupressaceae"	2.091246587	2.364620484	1.123304901	-1.5682425535	-1.021651248	0.49	5.070381098	2.087533712	"NC"
"222"	"Cyathea arborea"	"Cyathea"	"Cyatheaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"223"	"Cyathea tenera"	"Cyathea"	"Cyatheaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"224"	"Cyrilla racemiflora"	"Cyrilla"	"Cyrillaceae"	0.318525051135	3.60819726098	0.836054785665	-0.722746894515	0.32208751263	0.615	4.460837815	2.48490665	"BE"
"225"	"Dacryodes excelsa"	"Dacryodes"	"Burseraceae"	-0.051293294	3.994340048	0.270027137	0.616185139	1.360976553	0.52	4.708177936	2.513251123	"BE"
"226"	"Daphnopsis americana"	"Daphnopsis"	"Thymelaeaceae"	0.44328146944	3.75951806618	0.751183275865	-0.701972004585	0.742084482215	0.33	4.1353390692975	2.980618636	"BE"
"227"	"Daphnopsis philippiana"	"Daphnopsis"	"Thymelaeaceae"	0.65274375349	3.796605407585	0.7329479526	-0.637223211345	0.666852466415	0.3	4.0962895847225	2.980618636	"BE"
"228"	"Delonix regia"	"Delonix"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.6075	4.038630117	3.27978276	"BD"
"229"	"Dendropanax arboreus"	"Dendropanax"	"Araliaceae"	0.956636434835	3.66734962967	0.704759263225	-1.09364966545	-0.94160854	0.43	4.384585857	2.803360381	"BE"
"230"	"Diospyros indet"	"Diospyros"	"Ebenaceae"	-0.954511945	3.32331758156	1.078409581	-0.34249688851	1.418277407	0.67	4.527996284	2.85446792	"BE"
"231"	"Diospyros texana"	"Diospyros"	"Ebenaceae"	-0.954511945	3.284957217545	1.078409581	-0.728187406265	1.418277407	0.67	5.318561073	2.917770732	"BE"
"232"	"Diospyros virginiana"	"Diospyros"	"Ebenaceae"	-0.954511945	3.338623187285	1.078409581	-0.662159134825	1.418277407	0.67	3.737431495	2.791165108	"BD"
"233"	"Ditta myricoides"	"Ditta"	"Euphorbiaceae"	-0.523484528	3.43194236223	0.2390169	-0.162518929	1.2515615265	0.59	3.8531290975	3.113050896	"BE"
"234"	"Ebenopsis ebano"	"Ebenopsis"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.6075	4.038630117	3.27978276	"BD"
"235"	"Elaeagnus angustifolia"	"Elaeagnus"	"Elaeagnaceae"	0.691301611165	3.89112773609	0.774727168	-0.516468785324999	0.626878140735	0.46	4.38949865	3.683866912	"BD"
"236"	"Erica arborea"	"Erica"	"Ericaceae"	0.680568398	3.080073422	0.711795073	-1.612893877	-0.616186139	0.665	4.7098951685	2.516889696	"BE"
"237"	"Erithalis fruticosa"	"Erithalis"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.635	4.026779243	2.073171929	"BE"
"238"	"Erythrina poeppigiana"	"Erythrina"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.26	4.131319165	3.927896355	"BE"
"239"	"Erythroxylum areolatum"	"Erythroxylum"	"Erythroxylaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"240"	"Erythroxylum rotundifolium"	"Erythroxylum"	"Erythroxylaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"241"	"Erythroxylum rufum"	"Erythroxylum"	"Erythroxylaceae"	1.351503190885	3.493604817355	0.93651772337	-0.63948403624	0.13664780756	0.591725	4.277542287685	2.80087228941	"BE"
"242"	"Eucalyptus camaldulensis"	"Eucalyptus"	"Myrtaceae"	1.420695788	3.390810289	0.698134722	-0.083381609	1.280933845	0.74	5.280662431	2.251291799	"BE"
"243"	"Eucalyptus globulus"	"Eucalyptus"	"Myrtaceae"	0.841567186	3.55791619	0.494696242	-0.45413028	1.373715579	0.725	3.931825633	2.646174797	"BE"
"244"	"Eucalyptus gomphocephalus"	"Eucalyptus"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.6475	4.331542964	2.670400989	"BE"
"245"	"Eucalyptus grandis"	"Eucalyptus"	"Myrtaceae"	0.494696242	2.743739044	0.431782416	-1.273179984	1.202972304	0.645	3.998751009	3.084658483	"BE"
"246"	"Eucalyptus indet"	"Eucalyptus"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.6475	4.331542964	2.670400989	"BE"
"247"	"Eucalyptus nitens"	"Eucalyptus"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.744440475	1.2419530745	0.55	4.331542964	2.694627181	"BE"
"248"	"Eucalyptus robusta"	"Eucalyptus"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.65	4.331542964	2.549445171	"BE"
"249"	"Eucalyptus viminalis"	"Eucalyptus"	"Myrtaceae"	1.32175584	3.390810289	0.412109651	-0.5992853775	0.774727168	0.605	4.664334919	2.7631695	"BE"
"250"	"Eugenia biflora"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.8	4.686381441	2.753660712	"BE"
"251"	"Eugenia borinquensis"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.775	4.686381441	2.753660712	"BE"
"252"	"Eugenia confusa"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.76	4.686381441	2.753660712	"BE"
"253"	"Eugenia ligustrina"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.98	4.686381441	2.753660712	"BE"
"254"	"Eugenia monticola"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.775	4.686381441	2.753660712	"BE"
"255"	"Eugenia pseudopsidium"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.775	4.686381441	2.798500104	"BE"
"256"	"Eugenia rhombea"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.775	4.686381441	2.753660712	"BE"
"257"	"Eugenia stahlii"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.71	4.686381441	2.028148247	"BE"
"258"	"Eugenia xerophytica"	"Eugenia"	"Myrtaceae"	1.081661513	3.390810289	0.463239329	-0.5992853775	1.2419530745	0.775	4.686381441	2.753660712	"BE"
"259"	"Euonymus europaea"	"Euonymus"	"Celastraceae"	1.637053079	3.414442608	0.811874023409999	-0.833223299465	0.011590178805	0.48	4.105119635	3.163363115	"BD"
"260"	"Euonymus europaeus"	"Euonymus"	"Celastraceae"	1.637053079	3.414442608	0.650022166305	-0.58276924475	0.31734826759	0.48	4.105119635	3.163363115	"BD"
"261"	"Euonymus verrucosa"	"Euonymus"	"Celastraceae"	1.637053079	3.414442608	0.811874023409999	-0.833223299465	0.011590178805	0.48	4.105119635	3.163363115	"BD"
"262"	"Euphorbia petiolaris"	"Euphorbia"	"Euphorbiaceae"	-0.523484528	3.43194236223	0.2390169	-0.162518929	1.2515615265	0.59	3.8531290975	3.113050896	"BE"
"263"	"Exostema caribaeum"	"Exostema"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.995	4.026779243	2.957511061	"BE"
"264"	"Fagus grandifolia"	"Fagus"	"Fagaceae"	1.625311262	3.733972315	0.916290732	-1.272965676	-0.967584026	0.56	3.208421367	3.262318383	"BD"
"265"	"Fagus silvatica"	"Fagus"	"Fagaceae"	1.3120516075	3.733972315	0.916290732	-1.272965676	-0.967584026	0.6175	3.208421367	3.2146345675	"BE"
"266"	"Fagus sylvatica"	"Fagus"	"Fagaceae"	0.998791953	3.733972315	0.916290732	-1.272965676	-0.967584026	0.675	3.208421367	3.166950752	"BD"
"267"	"Faramea occidentalis"	"Faramea"	"Rubiaceae"	1.456286733	2.171906769	0.625938431	-0.145025772	0.647103242	0.615	4.237434295	2.986186861	"BE"
"268"	"Ficus americana"	"Ficus"	"Moraceae"	0.589312113	3.773443152	0.039220713	-0.204567166	0.512823626	0.395	5.393513904	2.556063844	"BE"
"269"	"Ficus aurea"	"Ficus"	"Moraceae"	0.589312113	3.773443152	0.039220713	-0.204567166	0.512823626	0.44	4.521854499	2.624668592	"BE"
"270"	"Ficus carica"	"Ficus"	"Moraceae"	0.727548607	3.398527153	0.039220713	-0.204567166	0.512823626	0.52	4.314817885	3.266331766	"BE"
"271"	"Ficus citrifolia"	"Ficus"	"Moraceae"	0.451075619	4.148359151	0.039220713	-0.204567166	0.512823626	0.4	3.42913675	3.120159852	"BE"
"272"	"Ficus trigonata"	"Ficus"	"Moraceae"	0.589312113	3.773443152	0.039220713	-0.204567166	0.512823626	0.43	4.728891113	2.882563575	"BE"
"273"	"Frangula dodonei"	"Frangula"	"Rhamnaceae"	2.091246587	4.016022595	0.808705521	-0.89947134236	-0.576994131765	0.595	4.050309381	3.0354152245	"BD"
"274"	"Fraxinus americana"	"Fraxinus"	"Oleaceae"	-0.510825624	3.710745831	0.760805829	-1.427116356	0.88376754	0.595	3.583796678	3.136146177	"BD"
"275"	"Fraxinus angustifolia"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.585	4.371976299	3.328985048	"BD"
"276"	"Fraxinus caroliniana"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.5575	3.7989623275	3.136146177	"BD"
"277"	"Fraxinus excelsior"	"Fraxinus"	"Oleaceae"	1.040276712	3.860729711	0.91027266	-1.427116356	0.6101198885	0.665	3.7989623275	3.091042453	"BD"
"278"	"Fraxinus exelsior"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.5575	3.7989623275	3.136146177	"BD"
"279"	"Fraxinus indet"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.5575	3.7989623275	3.136146177	"BD"
"280"	"Fraxinus latifolia"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.54	3.7989623275	3.136146177	"BD"
"281"	"Fraxinus nigra"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.45	3.719044868	3.224857897	"BD"
"282"	"Fraxinus ornus"	"Fraxinus"	"Oleaceae"	0.78845736	2.725235026	0.858661619	-1.427116356	-0.342490309	0.5575	3.878879787	3.005682604	"BD"
"283"	"Fraxinus pennsylvanica"	"Fraxinus"	"Oleaceae"	0	5.047224342	0.858661619	-1.427116356	0.336472237	0.575	3.254436	2.766633525	"BD"
"284"	"Fraxinus profunda"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.48	3.7989623275	3.136146177	"BD"
"285"	"Fraxinus quadrangulata"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.53	3.7989623275	3.507657293	"BD"
"286"	"Fraxinus texensis"	"Fraxinus"	"Oleaceae"	0	3.710745831	0.858661619	-1.427116356	0.6101198885	0.5575	3.7989623275	3.136146177	"BE"
"287"	"Fraxinus velutina"	"Fraxinus"	"Oleaceae"	-0.15665381	3.560761951	0.858661619	-1.427116356	1.16471209	0.5575	4.305010592	3.136146177	"BD"
"288"	"Ginkgo biloba"	"Ginkgo"	"Ginkgoaceae"	1.413423029	4.004055091	0.78845736	-0.91537371147	-0.748609814855	0.465	4.175463614	2.91506437	"BD"
"289"	"Gleditsia aquatica"	"Gleditsia"	"Fabaceae"	-0.765717873	3.7193365675	0.631271777	0.122217633	0.991398204	0.59	3.663433433	3.27978276	"BD"
"290"	"Gleditsia triacanthos"	"Gleditsia"	"Fabaceae"	-0.765717873	3.7193365675	0.631271777	0.122217633	0.991398204	0.59	3.663433433	3.27978276	"BD"
"291"	"Gliricidia sepium"	"Gliricidia"	"Fabaceae"	0.479334957	3.7193365675	0.708035793	0.399628106	1.294727168	0.6	4.284413806	3.228826156	"BE"
"292"	"Gordonia lasianthus"	"Gordonia"	"Theaceae"	0.44228399547	3.65266350638	0.758014053085	-0.832956466535	0.490316386705	0.5339	3.940645671135	3.044522438	"BE"
"293"	"Guaiacum officinale"	"Guaiacum"	"Zygophyllaceae"	0.24415616782	3.49195241242	0.618761815175	-0.308246866295	1.040547513565	1.14	4.05905529871	2.9061508736975	"BE"
"294"	"Guapira fragrans"	"Guapira"	"Nyctaginaceae"	-0.197489567895	3.65326899476	0.542866998495	-0.30166704551	1.0185268187	0.51	3.9034930988375	3.284663565	"BE"
"295"	"Guapira obtusata"	"Guapira"	"Nyctaginaceae"	-0.197489567895	3.65326899476	0.542866998495	-0.30166704551	1.0185268187	0.51	3.9034930988375	3.284663565	"BE"
"296"	"Guarea glabra"	"Guarea"	"Meliaceae"	0.826366024	3.742894042	0.744315467	0.174154967	1.730770198	0.58	4.514862473	3.106378794	"BE"
"297"	"Guarea guidonia"	"Guarea"	"Meliaceae"	0.826366024	3.742894042	0.744315467	0.174154967	1.730770198	0.565	4.339119134	3.356897123	"BE"
"298"	"Guatteria caribaea"	"Guatteria"	"Annonaceae"	1.193922468	2.895911938	0.518793793	-1.245298398	2.208274414	0.71	4.311201729	2.890371758	"BE"
"299"	"Guazuma ulmifolia"	"Guazuma"	"Malvaceae"	1.0186061535	4.038956367	0.693147181	-0.360961613625	1.1442228	0.525	4.246063717	3.204168196	"BE"
"300"	"Guettarda elliptica"	"Guettarda"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.83	4.026779243	2.091864062	"BE"
"301"	"Guettarda ovalifolia"	"Guettarda"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.7775	4.026779243	2.091864062	"BE"
"302"	"Guettarda pungens"	"Guettarda"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.7775	4.026779243	2.091864062	"BE"
"303"	"Guettarda scabra"	"Guettarda"	"Rubiaceae"	0.845868268	2.171906769	0.625938431	-0.145025772	0.804241228	0.725	4.026779243	2.091864062	"BE"
"304"	"Gyminda latifolia"	"Gyminda"	"Celastraceae"	1.637053079	3.414442608	0.811874023409999	-0.833223299465	0.011590178805	0.48	4.105119635	3.163363115	"BE"
"305"	"Gymnanthes lucida"	"Gymnanthes"	"Euphorbiaceae"	-0.523484528	3.614875372285	0.2390169	-0.162518929	1.2515615265	1.1	3.8531290975	3.113050896	"BE"
"306"	"Gymnocladus dioicus"	"Gymnocladus"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.2598138955	0.991398204	0.6075	4.038630117	3.27978276	"BE"
"307"	"Halesia carolina"	"Halesia"	"Styracaceae"	0.24126585391	4.192177250005	0.6974497736	-0.78817148107	0.55248568029	0.42	4.0854512762375	2.975504755365	"BD"
"308"	"Halesia diptera"	"Halesia"	"Styracaceae"	0.518134654295	3.936366072135	0.738981008185	-0.757233589125	0.562277582425	0.42	4.1997915049825	3.0193384967	"BD"
"309"	"Halesia indet"	"Halesia"	"Styracaceae"	0.518134654295	3.936366072135	0.738981008185	-0.757233589125	0.562277582425	0.42	4.1997915049825	3.0193384967	"BE"
"310"	"Heberdenia bahamensis"	"Heberdenia"	"Primulaceae"	0.30513218833	3.588523203195	0.81187109128	-0.83371967468	0.36244705664	0.667	4.3487142528725	2.228938553	"BE"
"311"	"Helicteres jamaicensis"	"Helicteres"	"Malvaceae"	1.0186061535	4.038956367	0.824175443	-0.67005262499	1.1442228	0.4675	3.5552004685	3.228826156	"BE"
"312"	"Henriettea squamulosum"	"Henriettea"	"Melastomataceae"	0.66619395269	3.52516851061	0.77701115512	-0.655373966555	0.59611480458	0.655	4.1997762915	2.90416508	"BE"
"313"	"Hernandia sonora"	"Hernandia"	"Hernandiaceae"	0.67693691071	3.786561758705	0.708461579215	-0.658161913745	0.54909232786	0.275	4.2002346372975	2.887590115	"BE"
